epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,4.070334120512008,2.936140196919441,0.3022898971938154,0.3910139923677994
2,2.868452924132347,2.2956639343500136,0.39524871153794083,0.4631110303470834
3,2.335860590696335,1.8943793642520905,0.4472926501250101,0.5224877339632927
4,1.967378139913082,1.6754777151346207,0.49953516079825977,0.5565146283845175
5,1.7204220634698868,1.4380767187476158,0.5452157666236427,0.6103034708340905
6,1.5208759797811509,1.2995930381119252,0.585787654231842,0.6330637833908777
7,1.3710382967293262,1.1681248457729816,0.6180104882165519,0.6732236961657277
8,1.237549908399582,1.0214828456938267,0.6485454594687294,0.7118844266763583
9,1.114380053281784,0.9341755466163159,0.6787915985955538,0.7327366890786844
10,1.0089122906625272,0.8340967389941215,0.7041727216109612,0.7611757223332728
11,0.9105263286978006,0.7591341319680214,0.7327941800326742,0.7781664546610939
12,0.8254332731962204,0.6933710284531116,0.754429511422408,0.8001090314373978
13,0.7549763168394565,0.6281681840121746,0.7746297081892933,0.8151917136107578
14,0.6852533071637154,0.5673218087106943,0.7938189925174427,0.8362256950754134
15,0.6259788559228182,0.5078304254263639,0.8108059318897745,0.8547610394330365
16,0.5620137753933668,0.46865133367478845,0.8310332066684117,0.8645284390332546
17,0.5133187229782343,0.4494848793745041,0.845510916951738,0.8694802834817372
18,0.4822525424659252,0.38892338059842585,0.8536252944733778,0.8893330910412502
19,0.4354639169350266,0.3730089167878032,0.8684008628859745,0.891195711430129
20,0.40629121889173986,0.3429018285125494,0.8786905073516802,0.8988733418135563
21,0.3699277443960309,0.31519455581903455,0.889774440162107,0.9087316009449391
22,0.35169737342000007,0.29495509672909975,0.8949824444223808,0.9137743049245866
23,0.3262816357389092,0.27959059935063124,0.9018602594073526,0.9189987279665637
24,0.2972156460434198,0.2630839071050286,0.9120054878103817,0.9234962747592222
25,0.2796515238024294,0.246355835609138,0.9162025796319195,0.9301744502998365
