epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,4.46039861702919,2.9718164616823195,0.28647633833073083,0.3943757950208977
2,2.9106226370334625,2.3055029466748236,0.3915209719201018,0.4607486825367981
3,2.376858143389225,1.9532297903299332,0.4434204944444946,0.5178084681083046
4,2.0215675196647642,1.6712343269586563,0.49570813513733064,0.5689169543885153
5,1.7515350418686866,1.4445014476776123,0.5416324430684802,0.6136652734871888
6,1.5534889599084853,1.3369233739376067,0.5820057585904992,0.6358804288569871
7,1.3908451674878597,1.1944445049762726,0.6160337933586664,0.6702707614028711
8,1.261147125184536,1.0848228150606156,0.6444386276863644,0.6909867345084499
9,1.145116102308035,0.9521067163348198,0.6711375472736956,0.7301926222060694
10,1.0330384851694108,0.8531382343173027,0.6989105613271837,0.7562238778847901
11,0.933529990464449,0.8091284294426441,0.7266655233728372,0.7650372524077775
12,0.8448436049222946,0.7188687062263489,0.7499526134794342,0.7898873341813556
13,0.7767671681046486,0.6475518956780434,0.7695570939877788,0.8134199527530438
14,0.7042700719833374,0.5955401227623224,0.7887463783159282,0.8308195529711067
15,0.6402174576520919,0.524960779324174,0.8072496863463638,0.8480374341268399
16,0.5852973312288523,0.5082204968482256,0.8238575335541696,0.8537161548246411
17,0.5369006547704339,0.44093071430921554,0.8374145914379327,0.8714337634017808
18,0.4846381277218461,0.4109115392714739,0.8537787365399716,0.8804742867526804
19,0.4400860097184777,0.38159316159784795,0.867814172631351,0.8906505542431401
20,0.41019929069280625,0.34088884588330987,0.8774449188110948,0.9059603852444121
21,0.37509495040774343,0.3162635440379381,0.8889711258134686,0.9068235507904779
22,0.34978496892005206,0.29267246685922144,0.8942784161168326,0.9177266945302562
23,0.320225479669869,0.27936397314071654,0.9045500085747037,0.9195438851535526
24,0.3044454195275903,0.2803584646433592,0.908476320278723,0.9184081410139924
25,0.2873565385043621,0.23714300924912096,0.9144064048523797,0.9312193349082318
